date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_S2-4,18713.0,18616.6,96.4,18616.6,100000.0,118616.6,118616.6,0.186166,0.186166,18.6166,,,,,,,0.0,0.0,,,,,241,104,137,0,77.2473029046,-55.4,1.7169432918,,,2178.9,49,11009.85,156,5427.85,36,0.0,0,Friday,2021-03
2021-03-30,strategy_S2-4,10064.5,9978.1,86.4,28594.7,118616.6,128594.7,128594.7,0.285947,0.0841206037,8.4120603693,,,,,,,0.0,0.0,0.8099602232,80.9960223203,0.8099602232,80.9960223203,216,92,124,0,46.1949074074,-50.025,1.7182098765,,,833.8,43,9969.1,166,-824.8,7,0.0,0,Tuesday,2021-03
2021-03-31,strategy_S2-4,10978.25,10894.65,83.6,39489.35,128594.7,139489.35,139489.35,0.3948935,0.0847208322,8.4720832196,0.3948935,39.48935,,,,,0.0,0.0,0.761401909,76.1401909027,0.761401909,76.1401909027,209,87,122,0,52.1275119617,-36.4,2.1974481659,,,4751.75,45,6057.15,129,85.75,35,0.0,0,Wednesday,2021-03
2021-04-01,strategy_S2-4,23855.0,23767.0,88.0,63256.35,139489.35,163256.35,163256.35,0.6325635,0.1703857678,17.0385767802,0.3763364487,37.6336448693,,,,,0.0,0.0,0.7502061391,75.0206139147,0.7502061391,75.0206139147,220,122,98,0,108.0318181818,44.975,1.8225,,,3406.25,45,17125.9,144,3234.85,31,0.0,0,Thursday,2021-04
2021-04-05,strategy_S2-4,3682.25,3575.05,107.2,66831.4,163256.35,166831.4,166831.4,0.668314,0.0218983825,2.1898382513,0.2973427365,29.734273652,0.668314,66.8314,,,0.0,0.0,0.9660497698,96.6049769759,0.9660497698,96.6049769759,268,91,177,0,13.339738806,-121.65,1.3975746269,,,9318.5,50,-2711.85,179,-3031.6,39,0.0,0,Monday,2021-04
2021-04-06,strategy_S2-4,16066.25,15971.05,95.2,82802.45,166831.4,182802.45,182802.45,0.8280245,0.0957316788,9.5731678809,0.3105118778,31.0511877789,0.5411202985,54.1120298508,,,0.0,0.0,0.750835245,75.0835244953,0.885609876,88.5609876,238,90,148,0,67.1052521008,-82.525,1.6221988796,,,9688.15,44,6396.15,164,-113.25,30,0.0,0,Tuesday,2021-04
2021-04-07,strategy_S2-4,1592.0,1570.4,21.6,84372.85,182802.45,184372.85,184372.85,0.8437285,0.0085906945,0.859069449,0.1293456579,12.9345657918,0.4337515465,43.3751546526,,,0.0,0.0,0.9213975807,92.1397580701,0.9859668392,98.5966839166,54,23,31,0,29.0814814815,-123.275,1.5601851852,,,879.1,51,691.3,3,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_S2-4,7463.5,7364.7,98.8,91737.55,184372.85,191737.55,191737.55,0.9173755,0.0399446014,3.9944601388,0.1492893424,14.9289342414,0.3745676641,37.4567664126,,,0.0,0.0,0.9442715224,94.4271522354,0.9635642242,96.3564224238,247,94,153,0,29.8165991903,-72.9,1.5955465587,,,338.8,48,3678.4,164,3347.5,35,0.0,0,Thursday,2021-04
2021-04-09,strategy_S2-4,3015.0,2913.4,101.6,94650.95,191737.55,194650.95,194650.95,0.9465095,0.0151947284,1.5194728419,0.0648158709,6.4815870903,0.192302474,19.2302473993,,,0.0,0.0,0.5002887528,50.028875279,0.9755227112,97.5522711204,254,95,159,0,11.4700787402,-72.9,1.5427821522,,,3874.3,48,-468.15,171,-492.75,35,0.0,0,Friday,2021-04
2021-04-12,strategy_S2-4,10079.5,9976.7,102.8,104627.65,194650.95,204627.65,204627.65,1.0462765,0.0512543093,5.1254309316,0.1098578234,10.9857823427,0.2265535744,22.6553574447,1.0462765,104.62765,0.0,0.0,0.4924456545,49.2445654466,0.9345324471,93.4532447072,257,101,156,0,38.819844358,-103.9,1.5773022049,,,699.95,52,10543.8,163,-1267.05,42,0.0,0,Monday,2021-04
