date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_37,22716.75,22582.35,134.4,22582.35,100000.0,122582.35,122582.35,0.2258235,0.2258235,22.58235,,,,,,,0.0,0.0,,,,,336,134,202,0,67.209375,-17.9,0.4418154762,,,5772.7,77,15152.9,199,1656.75,60,0.0,0,Friday,2021-03
2021-03-30,strategy_37,7730.75,7600.35,130.4,30182.7,122582.35,130182.7,130182.7,0.301827,0.0620019929,6.2001992946,,,,,,,0.0,0.0,1.3002929012,130.0292901206,1.3002929012,130.0292901206,326,114,212,0,23.3139570552,-27.275,0.4032719836,,,-563.2,73,7906.65,244,256.9,9,0.0,0,Tuesday,2021-03
2021-03-31,strategy_37,13320.25,13214.25,106.0,43396.95,130182.7,143396.95,143396.95,0.4339695,0.1015054228,10.1505422764,0.4339695,43.39695,,,,,0.0,0.0,1.1080991657,110.8099165743,1.1080991657,110.8099165743,265,108,157,0,49.8650943396,-14.65,0.4713836478,,,5313.45,57,6458.6,166,1442.2,42,0.0,0,Wednesday,2021-03
2021-04-01,strategy_37,21218.25,21089.05,129.2,64486.0,143396.95,164486.0,164486.0,0.64486,0.1470676329,14.7067632889,0.3418408115,34.1840811503,,,,,0.0,0.0,0.9669741515,96.6974151451,0.9669741515,96.6974151451,323,158,165,0,65.2911764706,-5.4,0.5653250774,,,3624.3,63,14678.75,215,2786.0,45,0.0,0,Thursday,2021-04
2021-04-05,strategy_37,16873.0,16740.2,132.8,81226.2,164486.0,181226.2,181226.2,0.812262,0.1017727953,10.1772795253,0.3920912687,39.2091268656,0.812262,81.2262,,,0.0,0.0,0.8889131588,88.8913158776,0.8889131588,88.8913158776,332,104,228,0,50.4222891566,-51.4,0.4141566265,,,9979.2,67,6564.6,226,196.4,39,0.0,0,Monday,2021-04
2021-04-06,strategy_37,11101.5,10967.9,133.6,92194.1,181226.2,192194.1,192194.1,0.921941,0.0605204987,6.0520498692,0.3402941973,34.0294197331,0.567877431,56.7877430968,,,0.0,0.0,0.5057980608,50.5798060778,0.9033942686,90.3394268615,334,103,231,0,32.8380239521,-39.525,0.419261477,,,6480.15,69,4494.45,227,-6.7,38,0.0,0,Tuesday,2021-04
2021-04-07,strategy_37,-143.25,-173.65,30.4,92020.45,192194.1,192020.45,192194.1,0.9202045,-0.0009035137,-0.0903513687,0.1673969213,16.7396921319,0.4750074319,47.5007431863,,,-173.65,-0.0009035137,0.788615868,78.8615868014,1.0604161778,106.0416177836,76,21,55,0,-2.2848684211,-38.65,0.350877193,,,179.85,71,-353.5,5,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_37,12327.75,12189.35,138.4,104209.8,192020.45,204209.8,204209.8,1.042098,0.0634794367,6.3479436695,0.1268227221,12.6822722101,0.4240874719,42.4087471874,,,0.0,0.0,0.7780896929,77.8089692921,1.0099754277,100.9975427652,346,119,227,0,35.2293352601,-25.4,0.4703757225,,,737.65,64,6524.5,235,4927.2,47,0.0,0,Thursday,2021-04
2021-04-09,strategy_37,5666.25,5533.45,132.8,109743.25,204209.8,209743.25,209743.25,1.0974325,0.0270968876,2.7096887613,0.0913095147,9.1309514704,0.2751434773,27.5143477256,,,0.0,0.0,0.5539154967,55.3915496654,1.0109432247,101.0943224705,332,119,213,0,16.6670180723,-31.65,0.4263554217,,,960.0,70,3574.5,220,998.95,42,0.0,0,Friday,2021-04
2021-04-12,strategy_37,7842.25,7697.85,144.4,117441.1,209743.25,217441.1,217441.1,1.174411,0.0367013003,3.670130028,0.1323851184,13.2385118356,0.1998325849,19.9832584913,1.174411,117.4411,0.0,0.0,0.3748867611,37.4886761132,0.9892184212,98.9218421172,361,131,230,0,21.3236842105,-35.4,0.4235457064,,,3920.5,65,-150.1,244,3927.45,52,0.0,0,Monday,2021-04
2021-04-13,strategy_37,24070.25,23926.65,143.6,141367.75,217441.1,241367.75,241367.75,1.4136775,0.1100373848,11.0037384837,0.1819596807,18.1959680681,0.2558541079,25.5854107904,0.9690253124,96.9025312372,0.0,0.0,0.5957417062,59.5741706231,0.6680327591,66.8032759097,359,144,215,0,66.6480501393,-20.65,0.4700557103,,,-2154.55,82,21578.25,230,4502.95,47,0.0,0,Tuesday,2021-04
2021-04-15,strategy_37,28979.25,28845.65,133.6,170213.4,241367.75,270213.4,270213.4,1.702134,0.1195091308,11.9509130777,0.2883055831,28.8305583136,0.4072115756,40.7211575642,1.0756475323,107.5647532276,0.0,0.0,0.5955302378,59.5530237829,0.7038475706,70.3847570572,334,130,204,0,86.3642215569,-22.15,0.4930139721,,,7520.15,64,16380.2,222,4945.3,48,0.0,0,Thursday,2021-04
2021-04-16,strategy_37,8228.5,8098.1,130.4,178311.5,270213.4,278311.5,278311.5,1.783115,0.0299692761,2.9969276135,0.279939717,27.9939717008,0.3628704401,36.2870440106,0.9408467195,94.0846719543,0.0,0.0,0.6531219657,65.3121965688,0.7224636175,72.2463617481,326,116,210,0,24.840797546,-25.4,0.4763803681,,,-1137.15,76,5527.65,214,3707.6,36,0.0,0,Friday,2021-04
