ts,status,tick_rate_per_sec,queue_size,queue_wait_avg_ms,tick_delay_avg_ms,latency_avg_ms,latency_p95_ms,api_success_pct,signal_fill_rate_pct,cpu_pct,memory_mb
2026-04-07T07:36:01.400848,STABLE,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,14.64,53.38
2026-04-07T07:36:33.079233,STABLE,1.0409586290878552,0.0,1.9382794698079426,315.9155527750651,1.9588152567545574,24.715423583984375,100.0,0.0,3.7,193.38
2026-04-07T07:37:03.201789,STABLE,1.0151016034829063,0.0,1.0661496056450739,306.1632951100667,1.0911888546413846,1.2674331665039062,100.0,0.0,0.05,193.38
2026-04-07T07:37:33.457589,STABLE,1.1957190999288152,0.0,0.7938523041574579,293.8396491502461,0.8194226967661005,1.2426376342773438,100.0,0.0,0.1,193.39
2026-04-07T07:38:03.626848,STABLE,1.1495770334554747,0.0,0.6991647324472103,288.87114209948845,0.7287938639802752,0.9891986846923828,100.0,0.0,0.19,193.39
2026-04-07T07:38:33.801440,STABLE,1.1050303426610384,0.0,0.6262887926662669,286.0723260570975,0.6556212902069092,0.965118408203125,100.0,0.0,0.06,193.36
2026-04-07T07:39:03.975852,STABLE,1.0639051712697227,0.0,0.5899538476783109,284.2193224343909,0.619323856859322,0.9386539459228516,100.0,0.0,0.08,193.37
2026-04-07T07:39:34.150633,STABLE,1.0256761391124911,0.0,0.5635108266557965,282.9590804722844,0.5926830427987235,0.8623600006103516,100.0,0.0,0.1,193.37
2026-04-07T07:40:04.464525,STABLE,1.1948953576580519,0.0,0.5886134597173346,282.1237347724679,0.6173980393598784,0.8647441864013672,100.0,0.0,0.13,193.38
2026-04-07T07:40:34.638320,STABLE,1.1462631223813653,0.0,0.573303912864121,281.48625611331215,0.6022239937392654,0.8647441864013672,100.0,0.0,0.08,193.38
2026-04-07T07:41:04.813304,STABLE,1.1018208884319871,0.0,0.5614549856152684,280.96478990561457,0.5906616769185881,0.8647441864013672,100.0,0.0,0.17,193.49
2026-04-07T07:41:34.979763,STABLE,1.0628254603710132,0.0,0.5442878049254793,280.46017339929045,0.5731394614330978,0.8623600006103516,100.0,0.0,0.08,193.49
2026-04-07T07:42:05.090133,STABLE,1.0381709832291353,0.0,0.5280002736907871,280.1022082996643,0.5558031780231927,0.8404254913330078,100.0,0.0,0.03,193.5
2026-04-07T07:42:35.205784,STABLE,1.0139352078058745,0.0,0.5131355963588077,279.7546304505447,0.5400655124168497,0.8363723754882812,100.0,0.0,0.08,193.5
2026-04-07T07:43:05.680430,STABLE,1.1373353572856044,0.0,0.5375456576253853,279.5420131262611,0.5645874668570126,0.8363723754882812,100.0,0.0,0.06,193.48
2026-04-07T07:43:35.858349,STABLE,1.091246464893498,0.0,0.5296468734741211,279.32292304626884,0.5569267490683081,0.8363723754882812,100.0,0.0,0.1,193.48
2026-04-07T07:44:06.037338,STABLE,1.0499683630462355,0.0,0.5224764856517824,279.0667817123935,0.5500423602568798,0.8232593536376953,100.0,0.0,0.14,193.48
2026-04-07T07:44:36.217957,STABLE,1.0116817374772455,0.0,0.519331679286727,278.9483261874402,0.5471060074955584,0.8363723754882812,100.0,0.0,0.17,193.49
2026-04-07T07:45:06.396660,STABLE,1.2131615655001626,0.0,0.5125296363758455,278.7625045992702,0.540425962220969,0.8077621459960938,100.0,0.0,0.13,193.49
2026-04-07T07:45:36.550664,STABLE,1.169897793934623,0.0,0.5049752421370559,278.7196209690865,0.5327998418927405,0.7970333099365234,100.0,0.0,0.21,193.5
2026-04-07T07:46:07.022625,STABLE,1.0532250935466791,0.0,0.5286391603116876,278.51999392938535,0.5563855778381659,0.7970333099365234,100.0,0.0,0.13,193.54
2026-04-07T07:46:37.159421,STABLE,1.023843523914558,0.0,0.5219683701079189,278.3231769894552,0.5494026837325828,0.7970333099365234,100.0,0.0,0.08,193.54
2026-04-07T07:47:07.278013,STABLE,1.2485370789826726,0.0,0.5128035178551307,278.16676469949573,0.5396729249220628,0.7855892181396484,100.0,0.0,0.09,193.52
2026-04-07T07:47:37.399143,STABLE,1.2139253131737933,0.0,0.5059431580936208,277.95914060929243,0.5323403021868538,0.7853507995605469,100.0,0.0,0.1,193.52
2026-04-07T07:48:07.519393,STABLE,1.1777601535279083,0.0,0.4995332637303312,277.7834465805913,0.5254167905995544,0.7834434509277344,100.0,0.0,0.09,193.53
2026-04-07T07:48:37.653645,STABLE,1.1420334509319259,0.0,0.49430744068042654,277.6616218927744,0.5200073525712297,0.7739067077636719,100.0,0.0,0.14,193.53
2026-04-07T07:49:08.070052,STABLE,1.0426930735444089,0.0,0.49094317795394304,277.567010111623,0.516662040314117,0.7715225219726562,100.0,0.0,0.1,193.54
2026-04-07T07:49:38.253559,STABLE,1.0047724911027545,0.0,0.4889938235282898,277.4388536810875,0.5149826407432556,0.7715225219726562,100.0,0.0,0.19,193.6
