Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-07,09:18:00,2026-04-07,09:18:04,NIFTY,BUY,22775.75,22766.5,NIFTY07APR2622750CE,22750.0,CE,106.0,103.7,110.0,100.0,110.0,100.0,0.002361,0.002889,ws,ws,book_ladder,book_ladder,False,False,-4.0,3.7,65,-149.5,strategy_S5-10:NIFTY:2026-04-07T09:18:00:LONG
2026-04-07,09:18:14,2026-04-07,09:18:36,NIFTY,BUY,22780.0,22764.2,NIFTY07APR2622750CE,22750.0,CE,111.35,105.25,115.0,105.0,115.0,105.0,0.001348,0.00332,ws,ws,book_ladder,book_ladder,False,False,-3.65,0.25,65,-396.5,strategy_S5-10:NIFTY:2026-04-07T09:18:14:LONG
2026-04-07,09:18:50,2026-04-07,09:19:04,NIFTY,SELL,22764.1,22773.0,NIFTY07APR2622800PE,22800.0,PE,125.75,121.65,130.0,120.0,130.0,120.0,0.003186,0.002053,ws,ws,book_ladder,book_ladder,False,False,-4.25,1.65,65,-266.5,strategy_S5-10:NIFTY:2026-04-07T09:18:50:SHORT
2026-04-07,09:19:23,2026-04-07,09:19:35,NIFTY,BUY,22782.4,22779.05,NIFTY07APR2622750CE,22750.0,CE,112.8,107.85,115.0,105.0,115.0,105.0,0.001775,0.002778,ws,ws,book_ladder,book_ladder,False,False,-2.2,2.85,65,-321.75,strategy_S5-10:NIFTY:2026-04-07T09:19:23:LONG
2026-04-07,09:20:05,2026-04-07,09:20:55,NIFTY,SELL,22762.85,22770.7,NIFTY07APR2622800PE,22800.0,PE,124.15,122.0,125.0,120.0,125.0,120.0,0.002823,0.002456,ws,ws,book_ladder,book_ladder,False,False,-0.85,2.0,65,-139.75,strategy_S5-10:NIFTY:2026-04-07T09:20:05:SHORT
2026-04-07,09:21:01,2026-04-07,09:21:10,NIFTY,BUY,22772.95,22765.7,NIFTY07APR2622750CE,22750.0,CE,100.2,101.5,105.0,100.0,105.0,100.0,0.001998,0.00246,ws,ws,book_ladder,book_ladder,False,False,-4.8,1.5,65,84.5,strategy_S5-10:NIFTY:2026-04-07T09:21:01:LONG
2026-04-07,09:21:41,2026-04-07,09:23:14,NIFTY,BUY,22779.95,22817.55,NIFTY07APR2622750CE,22750.0,CE,105.4,134.7,110.0,130.0,110.0,130.0,0.002375,0.002965,ws,ws,book_ladder,book_ladder,False,False,-4.6,4.7,65,1904.5,strategy_S5-10:NIFTY:2026-04-07T09:21:41:LONG
2026-04-07,09:23:32,2026-04-07,09:23:54,NIFTY,SELL,22794.85,22806.55,NIFTY07APR2622800PE,22800.0,PE,109.4,105.85,110.0,105.0,110.0,105.0,0.002746,0.002359,ws,ws,book_ladder,book_ladder,False,False,-0.6,0.85,65,-230.75,strategy_S5-10:NIFTY:2026-04-07T09:23:32:SHORT
2026-04-07,09:24:00,2026-04-07,09:24:30,NIFTY,BUY,22817.55,22812.25,NIFTY07APR2622800CE,22800.0,CE,103.2,104.5,105.0,100.0,105.0,100.0,0.002911,0.002389,ws,ws,book_ladder,book_ladder,False,False,-1.8,4.5,65,84.5,strategy_S5-10:NIFTY:2026-04-07T09:24:00:LONG
2026-04-07,09:24:50,2026-04-07,09:24:54,NIFTY,BUY,22819.8,22811.65,NIFTY07APR2622800CE,22800.0,CE,104.05,102.25,105.0,100.0,105.0,100.0,0.002887,0.002442,ws,ws,book_ladder,book_ladder,False,False,-0.95,2.25,65,-117.0,strategy_S5-10:NIFTY:2026-04-07T09:24:50:LONG
2026-04-07,09:25:50,2026-04-07,09:27:53,NIFTY,BUY,22822.7,22878.25,NIFTY07APR2622800CE,22800.0,CE,106.75,149.95,110.0,150.0,110.0,145.0,0.002345,0.002997,ws,ws,book_ladder,book_ladder,False,True,-3.25,-0.05,65,2808.0,strategy_S5-10:NIFTY:2026-04-07T09:25:50:LONG
2026-04-07,09:28:22,2026-04-07,09:28:27,NIFTY,BUY,22881.9,22876.55,NIFTY07APR2622850CE,22850.0,CE,123.6,120.3,125.0,120.0,125.0,120.0,0.002025,0.001661,ws,ws,book_ladder,book_ladder,False,False,-1.4,0.3,65,-214.5,strategy_S5-10:NIFTY:2026-04-07T09:28:22:LONG
