date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_48,24277.5,24078.3,199.2,24078.3,100000.0,124078.3,124078.3,0.240783,0.240783,24.0783,,,,,,,0.0,0.0,,,,,498,170,328,0,48.35,-40.4,0.5803547523,,,6277.7,102,12598.9,324,5201.7,72,0.0,0,Friday,2021-03
2021-03-30,strategy_48,20416.0,20253.2,162.8,44331.5,124078.3,144331.5,144331.5,0.443315,0.1632291867,16.3229186731,,,,,,,0.0,0.0,0.6155643094,61.5564309401,0.6155643094,61.5564309401,407,155,252,0,49.7621621622,-22.9,0.6810810811,,,4656.7,82,16156.7,307,-560.2,18,0.0,0,Tuesday,2021-03
2021-03-31,strategy_48,25289.5,25139.9,149.6,69471.4,144331.5,169471.4,169471.4,0.694714,0.1741816582,17.4181658197,0.694714,69.4714,,,,,0.0,0.0,0.5440295036,54.4029503597,0.5440295036,54.4029503597,374,166,208,0,67.2189839572,-14.65,0.8879679144,,,8771.7,77,12810.45,232,3557.75,65,0.0,0,Wednesday,2021-03
2021-04-01,strategy_48,31056.25,30879.05,177.2,100350.45,169471.4,200350.45,200350.45,1.0035045,0.1822080304,18.2208030382,0.6147098244,61.4709824361,,,,,0.0,0.0,0.4766639117,47.6663911678,0.4766639117,47.6663911678,443,172,271,0,69.7044018059,-15.4,0.7477050414,,,5506.9,89,21417.65,284,3954.5,70,0.0,0,Thursday,2021-04
2021-04-05,strategy_48,22024.25,21820.65,203.6,122171.1,200350.45,222171.1,222171.1,1.221711,0.1089124082,10.8912408233,0.5393112384,53.9311238364,1.221711,122.1711,,,0.0,0.0,0.6689814014,66.8981401431,0.6689814014,66.8981401431,509,163,346,0,42.8696463654,-43.9,0.6054354944,,,17473.55,98,3989.3,343,357.8,68,0.0,0,Monday,2021-04
2021-04-06,strategy_48,25444.0,25249.6,194.4,147420.7,222171.1,247420.7,247420.7,1.474207,0.113649345,11.3649345032,0.4599554851,45.9955485114,0.9940690677,99.4069067677,,,0.0,0.0,0.4915693552,49.1569355213,0.7069972472,70.6997247151,486,155,331,0,51.953909465,-43.525,0.6090877915,,,12688.35,101,12468.2,322,93.05,63,0.0,0,Tuesday,2021-04
2021-04-07,strategy_48,6846.25,6803.85,42.4,154224.55,247420.7,254224.55,254224.55,1.5422455,0.0274991139,2.7499113857,0.2688993212,26.8899321164,0.7613933895,76.1393389523,,,0.0,0.0,0.8843354406,88.4335440631,1.0009645219,100.0964521919,106,44,62,0,64.1872641509,-39.15,0.6438679245,,,6641.9,99,161.95,7,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_48,21094.25,20903.85,190.4,175128.4,254224.55,275128.4,275128.4,1.751284,0.0822259298,8.2225929793,0.2383626853,23.8362685336,0.6234503285,62.3450328492,,,0.0,0.0,0.7954434403,79.5443440311,0.9914987023,99.1498702287,476,158,318,0,43.9156512605,-32.9,0.6246498599,,,2998.0,95,8981.5,325,8924.35,56,0.0,0,Thursday,2021-04
2021-04-09,strategy_48,7124.0,6922.4,201.6,182050.8,275128.4,282050.8,282050.8,1.820508,0.0251606159,2.5160615916,0.1399644411,13.9964441132,0.4077872049,40.778720487,,,0.0,0.0,0.6096603492,60.9660349234,1.0875895693,108.7589569264,504,165,339,0,13.7349206349,-39.025,0.6181547619,,,-452.85,109,7644.5,325,-269.25,70,0.0,0,Friday,2021-04
2021-04-12,strategy_48,25802.0,25591.6,210.4,207642.4,282050.8,307642.4,307642.4,2.076424,0.0907340096,9.0734009618,0.2101207377,21.0120737749,0.3847093524,38.4709352387,2.076424,207.6424,0.0,0.0,0.5625269209,56.2526920881,1.0440188,104.4018799962,526,183,343,0,48.6532319392,-50.525,0.627756654,,,7301.75,95,12308.7,362,5981.15,69,0.0,0,Monday,2021-04
