date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_55,35826.0,35444.0,382.0,35444.0,100000.0,135444.0,135444.0,0.35444,0.35444,35.444,,,,,,,0.0,0.0,,,,,955,293,662,0,37.1141361257,-37.9,0.4163525305,,,10926.3,188,18012.65,629,6505.05,138,0.0,0,Friday,2021-03
2021-03-30,strategy_55,19340.5,19011.3,329.2,54455.3,135444.0,154455.3,154455.3,0.544553,0.1403628068,14.0362806769,,,,,,,0.0,0.0,1.699185044,169.9185043981,1.699185044,169.9185043981,823,254,569,0,23.1,-35.4,0.4176387201,,,3907.3,178,15309.9,614,-205.9,31,0.0,0,Tuesday,2021-03
2021-03-31,strategy_55,24550.0,24246.4,303.6,78701.7,154455.3,178701.7,178701.7,0.787017,0.1569800454,15.6980045359,0.787017,78.7017,,,,,0.0,0.0,1.5435922736,154.3592273584,1.5435922736,154.3592273584,759,252,507,0,31.9451910408,-27.9,0.5974527888,,,5822.25,170,12611.5,480,5812.65,109,0.0,0,Wednesday,2021-03
2021-04-01,strategy_55,24244.75,23887.55,357.2,102589.25,178701.7,202589.25,202589.25,1.0258925,0.133672763,13.3672763046,0.4957417826,49.5741782582,,,,,0.0,0.0,1.455040507,145.5040507022,1.455040507,145.5040507022,893,279,614,0,26.7497760358,-30.4,0.4511198208,,,5606.35,171,17047.1,591,1234.1,131,0.0,0,Thursday,2021-04
2021-04-05,strategy_55,38278.25,37887.45,390.8,140476.7,202589.25,240476.7,240476.7,1.404767,0.1870160929,18.7016092907,0.5569339479,55.693394788,1.404767,140.4767,,,0.0,0.0,1.3027806901,130.2780690099,1.3027806901,130.2780690099,977,292,685,0,38.7793756397,-37.9,0.4059877175,,,20732.55,183,14123.7,662,3031.2,132,0.0,0,Monday,2021-04
2021-04-06,strategy_55,30828.75,30441.95,386.8,170918.65,240476.7,270918.65,270918.65,1.7091865,0.1265900189,12.6590018908,0.5160384596,51.6038459623,1.0002262928,100.0226292785,,,0.0,0.0,0.3419921962,34.1992196175,1.255288613,125.5288612988,967,309,658,0,31.4808169597,-30.4,0.3957945536,,,15736.25,190,14641.6,646,64.1,131,0.0,0,Tuesday,2021-04
2021-04-07,strategy_55,7981.0,7897.8,83.2,178816.45,270918.65,278816.45,278816.45,1.7881645,0.0291519244,2.9151924388,0.3762647821,37.6264782065,0.8051594863,80.5159486272,,,0.0,0.0,0.8435675003,84.3567500275,1.4431522219,144.3152221944,208,57,151,0,37.9701923077,-37.9,0.3905448718,,,7419.25,195,478.55,13,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_55,29361.75,28989.35,372.4,207805.8,278816.45,307805.8,307805.8,2.078058,0.1039728825,10.3972882518,0.2799818028,27.9981802811,0.722455914,72.2455913962,,,0.0,0.0,0.8142544887,81.4254488729,1.3829439426,138.2943942644,931,289,642,0,31.1378625134,-27.9,0.4153240243,,,1959.8,183,14448.45,642,12581.1,106,0.0,0,Thursday,2021-04
2021-04-09,strategy_55,16312.0,15907.6,404.4,223713.4,307805.8,323713.4,323713.4,2.237134,0.0516806376,5.1680637597,0.1948730735,19.4873073522,0.5978804403,59.7880440349,,,0.0,0.0,0.8880739229,88.8073922897,1.4002560463,140.025604635,1011,299,712,0,15.734520277,-30.4,0.3795911639,,,6839.0,190,8204.1,681,864.5,140,0.0,0,Friday,2021-04
2021-04-12,strategy_55,41292.0,40904.8,387.2,264618.2,323713.4,364618.2,364618.2,2.646182,0.1263611577,12.636115774,0.3077356089,30.7735608857,0.5162308864,51.6230886402,2.646182,264.6182,0.0,0.0,0.6348646781,63.4864678075,1.3306631084,133.0663108357,968,325,643,0,42.2570247934,-37.9,0.4127238292,,,11735.0,185,19467.45,652,9702.35,131,0.0,0,Monday,2021-04
2021-04-13,strategy_55,57687.0,57319.4,367.6,321937.6,364618.2,421937.6,421937.6,3.219376,0.1572038916,15.7203891632,0.3707915835,37.0791583524,0.5574328309,55.7432830852,2.1152180975,211.5218097516,0.0,0.0,0.7492063121,74.9206312081,0.7290044818,72.9004481826,919,338,581,0,62.3714907508,-20.4,0.4586869786,,,5904.7,192,41915.6,601,9499.1,126,0.0,0,Tuesday,2021-04
2021-04-15,strategy_55,74511.75,74144.55,367.2,396082.15,421937.6,496082.15,496082.15,3.9608215,0.1757239696,17.5723969611,0.5324733236,53.2473323625,0.7792427599,77.9242759887,2.2118169464,221.1816946392,0.0,0.0,0.6886500769,68.8650076924,0.7705725438,77.0572543841,918,350,568,0,80.7674836601,-17.65,0.4563613232,,,11500.6,196,52519.0,600,10124.95,122,0.0,0,Thursday,2021-04
2021-04-16,strategy_55,34393.0,34028.2,364.8,430110.35,496082.15,530110.3500000001,530110.3500000001,4.3011035,0.0685938811,6.8593881074,0.4538779194,45.3877919424,0.7222233954,72.2223395401,1.9664538726,196.6453872571,0.0,0.0,0.7697532074,76.9753207426,0.7923174648,79.2317464847,912,288,624,0,37.311622807,-25.4,0.4355628655,,,13125.45,177,17528.9,609,3373.85,126,0.0,0,Friday,2021-04
2021-04-19,strategy_55,41700.25,41316.25,384.0,471426.6,530110.3500000001,571426.6000000001,571426.6000000001,4.714266,0.0779389612,7.7938961199,0.3542917247,35.4291724653,0.765223806,76.5223805996,1.8206165924,182.061659244,0.0,0.0,0.6710504255,67.1050425495,0.8053354311,80.5335431068,960,325,635,0,43.0377604167,-27.4,0.4314911366,,,10395.15,199,22925.0,635,7996.1,126,0.0,0,Monday,2021-04
2021-04-20,strategy_55,53907.75,53535.75,372.0,524962.3500000001,571426.6000000001,624962.3500000001,624962.3500000001,5.2496235,0.0936878857,9.3687885723,0.2597960842,25.9796084177,0.7140185268,71.4018526777,1.5988478302,159.8847830164,0.0,0.0,0.6900989494,69.0098949438,0.6970214789,69.7021478865,930,326,604,0,57.5653225806,-21.775,0.4553942652,,,5976.85,186,31602.6,621,15956.3,123,0.0,0,Tuesday,2021-04
