date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_28,55501.75,54881.35,620.4,54881.35,100000.0,154881.35,154881.35,0.5488135,0.5488135,54.88135,,,,,,,0.0,0.0,,,,,1551,661,890,0,35.3844938749,-30.4,0.3008059317,,,18961.0,310,24146.95,1037,11773.4,204,0.0,0,Friday,2021-03
2021-03-30,strategy_28,27379.75,26861.75,518.0,81743.1,154881.35,181743.1,181743.1,0.817431,0.1734343741,17.3434374119,,,,,,,0.0,0.0,2.9794794433,297.9479443336,2.9794794433,297.9479443336,1295,501,794,0,20.7426640927,-31.9,0.321981982,,,4651.8,278,19824.15,974,2385.8,43,0.0,0,Tuesday,2021-03
2021-03-31,strategy_28,37253.0,36785.8,467.2,118528.9,181743.1,218528.9,218528.9,1.185289,0.2024054833,20.2405483344,1.185289,118.5289,,,,,0.0,0.0,2.7071987672,270.7198767169,2.7071987672,270.7198767169,1168,459,709,0,31.4946917808,-30.4,0.4442636986,,,5009.95,277,22314.65,724,9461.2,167,0.0,0,Wednesday,2021-03
2021-04-01,strategy_28,33328.25,32763.45,564.8,151292.35,218528.9,251292.35,251292.35,1.5129235,0.1499273094,14.9927309386,0.6224829523,62.2482952273,,,,,0.0,0.0,2.5846825655,258.4682565456,2.5846825655,258.4682565456,1412,546,866,0,23.2035764873,-30.4,0.3345491029,,,6580.85,276,22582.05,953,3600.55,183,0.0,0,Thursday,2021-04
2021-04-05,strategy_28,65169.5,64543.1,626.4,215835.45,251292.35,315835.45,315835.45,2.1583545,0.2568446672,25.6844667177,0.7378126047,73.7812604715,2.1583545,215.83545,,,0.0,0.0,2.3130243845,231.3024384541,2.3130243845,231.3024384541,1566,626,940,0,41.2152618135,-37.9,0.2989463602,,,27862.05,298,30040.9,1059,6640.15,209,0.0,0,Monday,2021-04
2021-04-06,strategy_28,54667.0,54046.6,620.4,269882.05,315835.45,369882.05,369882.05,2.6988205,0.1711226526,17.1122652634,0.6926001549,69.2600154945,1.3881639074,138.8163907404,,,0.0,0.0,0.5878247313,58.7824731296,2.1852591335,218.5259133462,1551,652,899,0,34.8462927144,-28.9,0.3008489147,,,25277.1,301,29236.05,1038,-466.55,212,0.0,0,Tuesday,2021-04
2021-04-07,strategy_28,11003.0,10871.0,132.0,280753.05,369882.05,380753.05,380753.05,2.8075305,0.0293904503,2.939045028,0.5151796304,51.5179630419,1.0950069081,109.5006908103,,,0.0,0.0,1.1972864952,119.7286495245,2.36658487,236.6584870041,330,135,195,0,32.9424242424,-41.9,0.2915151515,,,11497.45,307,-626.45,23,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_28,37919.0,37333.8,585.2,318086.85,380753.05,418086.85,418086.85,3.1808685,0.0980525304,9.8052530374,0.3237489648,32.3748964849,0.9131879124,91.3187912445,,,0.0,0.0,1.2028690204,120.2869020369,2.3027842375,230.2784237451,1463,568,895,0,25.5186602871,-30.4,0.326851219,,,3199.35,291,17550.0,1005,16584.45,167,0.0,0,Thursday,2021-04
2021-04-09,strategy_28,42168.25,41552.25,616.0,359639.1,418086.85,459639.1,459639.1,3.596391,0.0993866466,9.9386646578,0.242663979,24.2663978963,0.8291010451,82.9101045058,,,0.0,0.0,1.2266822907,122.6682290709,2.232641985,223.2641985046,1540,649,891,0,26.9819805195,-25.4,0.3108766234,,,12530.95,307,25642.0,1020,3379.3,213,0.0,0,Friday,2021-04
2021-04-12,strategy_28,64170.5,63534.1,636.4,423173.2,459639.1,523173.2,523173.2,4.231732,0.1382260561,13.8226056051,0.3740486123,37.4048612349,0.6564739645,65.6473964528,4.231732,423.1732,0.0,0.0,0.7529192573,75.2919257336,2.1335832375,213.3583237546,1591,708,883,0,39.9334380893,-27.9,0.3001361827,,,19668.65,304,27904.45,1077,15961.0,210,0.0,0,Monday,2021-04
2021-04-13,strategy_28,90740.25,90156.25,584.0,513329.45,523173.2,613329.45,613329.45,5.1332945,0.1723258187,17.2325818677,0.4669905308,46.6990530795,0.6581757617,65.8175761706,2.9599955062,295.9995506238,0.0,0.0,0.7580857037,75.8085703671,0.9470783707,94.70783707,1460,670,790,0,61.7508561644,-18.15,0.3373972603,,,15938.95,317,57708.6,951,16508.7,192,0.0,0,Tuesday,2021-04
2021-04-15,strategy_28,122220.5,121655.3,565.2,634984.75,613329.45,734984.75,734984.75,6.3498475,0.1983522885,19.8352288481,0.5990474918,59.9047491826,0.9303450097,93.0345009712,3.0440861304,304.4086130368,0.0,0.0,0.6291627273,62.9162727332,0.9703533267,97.0353326695,1413,739,674,0,86.0971691437,9.6,0.3511677282,,,27443.2,292,76847.25,945,17364.85,176,0.0,0,Thursday,2021-04
2021-04-16,strategy_28,56915.5,56341.5,574.0,691326.25,734984.75,791326.25,791326.25,6.9132625,0.0766566925,7.6656692537,0.5125511972,51.2551197194,0.8927317374,89.2731737437,2.6211514816,262.1151481566,0.0,0.0,0.7123957934,71.239579339,0.9890644719,98.9064471935,1435,631,804,0,39.262369338,-17.65,0.3283391405,,,20450.85,301,30572.25,940,5318.4,194,0.0,0,Friday,2021-04
2021-04-19,strategy_28,72138.0,71543.2,594.8,762869.45,791326.25,862869.45,862869.45,7.6286945,0.0904092339,9.0409233865,0.4068612717,40.6861271703,0.8772759976,87.7275997625,2.4337274891,243.3727489118,0.0,0.0,0.7380955284,73.809552836,1.0128657101,101.2865710061,1487,682,805,0,48.1124411567,-15.4,0.3293431966,,,19508.95,287,43828.8,988,8205.45,212,0.0,0,Monday,2021-04
2021-04-20,strategy_28,91225.0,90677.8,547.2,853547.25,862869.45,953547.25,953547.25,8.5354725,0.1050886667,10.5088666658,0.2973701155,29.7370115502,0.8226225082,82.2622508187,2.019126732,201.9126731974,0.0,0.0,0.7608758755,76.0875875453,0.775612751,77.5612751046,1368,664,704,0,66.2849415205,-5.4,0.366630117,,,13643.65,274,54526.6,916,22507.55,178,0.0,0,Tuesday,2021-04
2021-04-22,strategy_28,65367.25,64829.25,538.0,918376.5,953547.25,1018376.5,1018376.5,9.183765,0.0679874542,6.7987454214,0.286923693,28.6923692977,0.6604069803,66.0406980294,1.7532466093,175.3246609291,0.0,0.0,0.7467568376,74.6756837567,0.7524446658,75.2444665771,1345,639,706,0,48.2001858736,-6.4,0.3489095415,,,7562.85,201,47370.85,956,9895.55,188,0.0,0,Thursday,2021-04
2021-04-23,strategy_28,62537.75,62128.15,409.6,980504.65,1018376.5,1080504.65,1080504.65,9.8050465,0.0610070539,6.1007053874,0.2522226277,25.2222627652,0.4701048559,47.0104855917,1.8378095724,183.7809572372,0.0,0.0,0.2513732427,25.1373242707,0.6813507185,68.1350718495,1024,494,530,0,60.6720214844,-5.4,0.3457845052,,,0.0,0,46847.6,836,15280.55,188,0.0,0,Friday,2021-04
2021-04-26,strategy_28,40091.0,39501.0,590.0,1020005.65,1080504.65,1120005.65,1120005.65,10.2000565,0.0365579176,3.6557917636,0.1745675424,17.4567542405,0.4153525806,41.5352580557,1.6788827489,167.8882748883,0.0,0.0,0.3774413009,37.7441300853,0.7676955714,76.7695571373,1475,593,882,0,26.7803389831,-25.4,0.3278305085,,,9558.55,293,28032.35,981,1910.1,201,0.0,0,Monday,2021-04
2021-04-27,strategy_28,-17242.5,-17847.3,604.8,1002158.35,1120005.65,1102158.35,1120005.65,10.0215835,-0.0159350089,-1.5935008899,0.0822700151,8.2270015068,0.2773176174,27.7317617399,1.3978777045,139.7877704486,-17847.2999999998,-0.0159350089,0.6351053328,63.5105332777,0.9598330953,95.9833095262,1512,453,1059,0,-11.8037698413,-43.15,0.3035493827,,,473.15,309,-13970.3,1002,-4350.15,201,0.0,0,Tuesday,2021-04
