Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Execution_Mode,Entry_Label,Exit_Label,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Bucket,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-24,09:20:32,2026-04-24,09:21:36,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24106.0,24098.65,NIFTY28APR2624150PE,24150.0,PE,ITM1,181.0,188.0,180.92,188.34,185.0,185.0,0.027632,0.026571,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0806,-0.3387,65,455.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:20:32:SHORT
2026-04-24,09:24:39,2026-04-24,09:26:36,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24090.85,24080.5,NIFTY28APR2624100PE,24100.0,PE,ITM1,169.2,174.3,169.07,174.41,170.0,170.0,0.029586,0.028653,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1333,-0.1091,65,331.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:24:39:SHORT
2026-04-24,09:27:36,2026-04-24,09:30:41,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24067.35,24058.5,NIFTY28APR2624100PE,24100.0,PE,ITM1,181.0,187.5,180.61,187.54,185.0,185.0,0.027659,0.026638,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3857,-0.0381,65,422.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:27:36:SHORT
2026-04-24,09:32:20,2026-04-24,09:35:45,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24042.05,24024.85,NIFTY28APR2624050PE,24050.0,PE,ITM1,170.75,176.0,170.54,176.03,175.0,175.0,0.029313,0.028389,ws,ws,type_b_ladder,type_b_ladder,False,False,0.21,-0.025,65,341.25,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:32:20:SHORT
2026-04-24,09:37:02,2026-04-24,09:39:01,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24005.4,24010.75,NIFTY28APR2624050PE,24050.0,PE,ITM1,186.75,182.6,186.57,182.82,190.0,180.0,0.026799,0.027349,ws,ws,type_b_ladder,type_b_ladder,False,False,0.175,-0.225,65,-269.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:37:02:SHORT
2026-04-24,09:40:00,2026-04-24,09:42:31,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24001.45,23998.95,NIFTY28APR2624050PE,24050.0,PE,ITM1,188.25,187.75,188.02,187.84,190.0,185.0,0.026589,0.026606,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2333,-0.0875,65,-32.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:40:00:SHORT
2026-04-24,09:44:29,2026-04-24,09:47:37,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23986.7,23963.85,NIFTY28APR2624000PE,24000.0,PE,ITM1,171.8,191.95,171.72,192.33,175.0,190.0,0.029138,0.026015,ws,ws,type_b_ladder,type_b_ladder,False,False,0.08,-0.3793,65,1309.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:44:29:SHORT
2026-04-24,09:54:04,2026-04-24,09:58:07,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23971.9,23955.15,NIFTY28APR2624000PE,24000.0,PE,ITM1,182.6,192.55,182.36,192.66,185.0,190.0,0.027409,0.025947,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2371,-0.1091,65,646.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:54:04:SHORT
2026-04-24,09:59:08,2026-04-24,10:02:43,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,23960.6,23986.15,NIFTY28APR2623950CE,23950.0,CE,ITM1,194.9,206.5,194.69,206.64,195.0,205.0,0.025687,0.024187,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2097,-0.1421,65,754.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T09:59:08:LONG
2026-04-24,10:05:35,2026-04-24,10:07:11,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,23999.15,23999.4,NIFTY28APR2623950CE,23950.0,CE,ITM1,209.85,211.15,209.73,211.55,210.0,210.0,0.023846,0.023649,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1167,-0.3972,65,84.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:05:35:LONG
2026-04-24,10:10:04,2026-04-24,10:10:50,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23981.25,23989.15,NIFTY28APR2624000PE,24000.0,PE,ITM1,174.6,172.0,174.55,172.38,175.0,170.0,0.028649,0.029036,ws,ws,type_b_ladder,type_b_ladder,False,False,0.05,-0.3764,65,-169.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:10:04:SHORT
2026-04-24,10:13:17,2026-04-24,10:13:55,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24000.0,23996.85,NIFTY28APR2623950CE,23950.0,CE,ITM1,215.4,211.7,215.25,211.93,220.0,210.0,0.023237,0.023593,ws,ws,type_b_ladder,type_b_ladder,False,False,0.15,-0.225,65,-240.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:13:17:LONG
2026-04-24,10:15:00,2026-04-24,10:18:41,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23989.45,23980.7,NIFTY28APR2624000PE,24000.0,PE,ITM1,170.8,172.0,170.68,172.24,175.0,170.0,0.029304,0.029049,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1217,-0.2435,65,78.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:15:00:SHORT
2026-04-24,10:19:51,2026-04-24,10:22:36,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23969.1,23962.4,NIFTY28APR2624000PE,24000.0,PE,ITM1,178.8,179.85,178.71,179.88,180.0,175.0,0.027996,0.02777,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0857,-0.0333,65,68.25,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:19:51:SHORT
2026-04-24,10:23:10,2026-04-24,10:25:43,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23956.65,23947.15,NIFTY28APR2624000PE,24000.0,PE,ITM1,185.6,191.9,185.43,191.94,190.0,190.0,0.026969,0.026031,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1714,-0.0437,65,409.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:23:10:SHORT
2026-04-24,10:28:11,2026-04-24,10:28:23,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23951.85,23956.55,NIFTY28APR2624000PE,24000.0,PE,ITM1,191.9,188.85,191.82,188.97,195.0,185.0,0.026072,0.026452,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0833,-0.1167,65,-198.25,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:28:11:SHORT
2026-04-24,10:30:03,2026-04-24,10:31:17,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23954.25,23963.75,NIFTY28APR2624000PE,24000.0,PE,ITM1,188.1,182.0,187.93,182.15,190.0,180.0,0.026596,0.027461,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1667,-0.1492,65,-396.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:30:03:SHORT
2026-04-24,10:34:16,2026-04-24,10:35:00,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,23970.7,23964.4,NIFTY28APR2623950CE,23950.0,CE,ITM1,192.65,186.7,192.3,186.93,195.0,185.0,0.025981,0.026759,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3467,-0.2333,65,-386.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:34:16:LONG
2026-04-24,10:36:04,2026-04-24,10:36:57,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23958.3,23961.1,NIFTY28APR2624000PE,24000.0,PE,ITM1,189.4,185.6,189.06,185.66,190.0,185.0,0.026431,0.026929,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3375,-0.0583,65,-247.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:36:04:SHORT
2026-04-24,10:38:17,2026-04-24,10:39:48,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23956.7,23957.2,NIFTY28APR2624000PE,24000.0,PE,ITM1,188.4,187.25,188.31,187.53,190.0,185.0,0.02656,0.026677,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0857,-0.28,65,-74.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:38:17:SHORT
2026-04-24,10:41:44,2026-04-24,10:46:19,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23946.4,23939.05,NIFTY28APR2623950PE,23950.0,PE,ITM1,167.95,168.8,167.73,168.84,170.0,165.0,0.029806,0.029586,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2222,-0.0353,65,55.25,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:41:44:SHORT
2026-04-24,10:47:17,2026-04-24,10:50:27,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23932.25,23926.25,NIFTY28APR2623950PE,23950.0,PE,ITM1,174.0,177.35,173.66,177.5,175.0,175.0,0.028765,0.028165,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3426,-0.15,65,217.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:47:17:SHORT
2026-04-24,10:51:14,2026-04-24,10:52:55,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,23933.35,23935.35,NIFTY28APR2623900CE,23900.0,CE,ITM1,197.0,201.0,196.9,201.17,200.0,200.0,0.025394,0.02486,ws,ws,type_b_ladder,type_b_ladder,False,False,0.104,-0.1667,65,260.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:51:14:LONG
2026-04-24,10:57:23,2026-04-24,10:58:45,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23934.85,23932.6,NIFTY28APR2623950PE,23950.0,PE,ITM1,169.0,167.05,168.8,167.18,170.0,165.0,0.029621,0.029909,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1951,-0.125,65,-126.75,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T10:57:23:SHORT
2026-04-24,11:00:18,2026-04-24,11:02:19,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23921.15,23920.9,NIFTY28APR2623950PE,23950.0,PE,ITM1,176.0,175.6,175.85,175.72,180.0,175.0,0.028421,0.028437,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1484,-0.1227,65,-26.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T11:00:18:SHORT
2026-04-24,11:04:05,2026-04-24,11:07:20,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,23927.45,23935.25,NIFTY28APR2623900CE,23900.0,CE,ITM1,195.0,198.1,194.62,198.4,195.0,195.0,0.025667,0.025211,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3784,-0.3,65,201.5,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T11:04:05:LONG
2026-04-24,11:09:45,2026-04-24,11:14:02,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23923.25,23916.3,NIFTY28APR2623950PE,23950.0,PE,ITM1,175.0,178.65,174.76,178.86,175.0,175.0,0.028592,0.027968,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2432,-0.2143,65,237.25,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T11:09:45:SHORT
2026-04-24,11:15:34,2026-04-24,11:16:18,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,23911.05,23917.3,NIFTY28APR2623950PE,23950.0,PE,ITM1,182.3,176.5,181.97,176.62,185.0,175.0,0.027457,0.028301,ws,ws,type_b_ladder,type_b_ladder,False,False,0.3304,-0.1167,65,-377.0,strategy_1min_hft__TYPE_B:NIFTY:2026-04-24T11:15:34:SHORT
