Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Execution_Mode,Entry_Label,Exit_Label,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-20,09:18:31,2026-04-20,09:18:42,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24322.95,24316.8,NIFTY21APR2624300CE,24300.0,CE,140.35,136.7,145.0,135.0,145.0,135.0,0.001783,0.002557,ws,ws,book_ladder,book_ladder,False,False,-4.65,1.7,65,-237.25,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:18:31:LONG
2026-04-20,09:19:03,2026-04-20,09:19:12,NIFTY,SELL,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24300.15,24310.45,NIFTY21APR2624350PE,24350.0,PE,168.35,167.3,170.0,165.0,170.0,165.0,0.002081,0.002388,ws,ws,book_ladder,book_ladder,False,False,-1.65,2.3,65,-68.25,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:19:03:SHORT
2026-04-20,09:19:34,2026-04-20,09:21:05,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24317.85,24359.05,NIFTY21APR2624300CE,24300.0,CE,139.75,162.3,140.0,160.0,140.0,160.0,0.002508,0.002462,ws,ws,book_ladder,book_ladder,False,False,-0.25,2.3,65,1465.75,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:19:34:LONG
2026-04-20,09:21:22,2026-04-20,09:21:42,NIFTY,SELL,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24354.4,24365.75,NIFTY21APR2624400PE,24400.0,PE,170.0,166.2,170.0,165.0,170.0,165.0,0.002651,0.002104,ws,ws,book_ladder,book_ladder,False,False,0.0,1.2,65,-247.0,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:21:22:SHORT
2026-04-20,09:22:00,2026-04-20,09:22:45,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24370.65,24369.1,NIFTY21APR2624350CE,24350.0,CE,138.65,137.4,140.0,135.0,140.0,135.0,0.001805,0.002907,ws,ws,book_ladder,book_ladder,False,False,-1.35,2.4,65,-81.25,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:22:00:LONG
2026-04-20,09:23:01,2026-04-20,09:23:11,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24379.8,24375.45,NIFTY21APR2624350CE,24350.0,CE,142.4,141.0,145.0,140.0,145.0,140.0,0.001405,0.001771,ws,ws,book_ladder,book_ladder,False,False,-2.6,1.0,65,-91.0,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:23:01:LONG
2026-04-20,09:23:23,2026-04-20,09:24:00,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24381.5,24386.65,NIFTY21APR2624350CE,24350.0,CE,144.6,147.5,145.0,145.0,145.0,145.0,0.00173,0.002032,ws,ws,book_ladder,book_ladder,False,False,-0.4,2.5,65,188.5,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:23:23:LONG
2026-04-20,09:24:12,2026-04-20,09:24:38,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24396.15,24389.9,NIFTY21APR2624350CE,24350.0,CE,152.0,148.15,155.0,145.0,155.0,145.0,0.001646,0.002696,ws,ws,book_ladder,book_ladder,False,False,-3.0,3.15,65,-250.25,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:24:12:LONG
2026-04-20,09:24:52,2026-04-20,09:25:00,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24396.2,24393.0,NIFTY21APR2624350CE,24350.0,CE,150.3,149.6,155.0,145.0,155.0,145.0,0.001998,0.00267,ws,ws,book_ladder,book_ladder,False,False,-4.7,4.6,65,-45.5,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:24:52:LONG
2026-04-20,09:25:24,2026-04-20,09:26:12,NIFTY,BUY,TYPE_F,BOOK_ENTRY_1,BOOK_EXIT_1,24401.45,24408.7,NIFTY21APR2624400CE,24400.0,CE,133.45,132.2,135.0,130.0,135.0,130.0,0.0015,0.002644,ws,ws,book_ladder,book_ladder,False,False,-1.55,2.2,65,-81.25,strategy_S9-10__TYPE_F:NIFTY:2026-04-20T09:25:24:LONG
