date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_32,-11262.5,-11286.9,24.4,-11286.9,100000.0,88713.1,100000.0,-0.112869,-0.112869,-11.2869,,,,,,,-11286.9,-0.112869,,,,,61,16,45,0,-185.031147541,-236.65,2.7087431694,,,-1480.6,9,-8018.75,40,-1787.55,12,0.0,0,Friday,2021-03
2021-03-30,strategy_32,2646.5,2625.3,21.2,-8661.6,88713.1,91338.4,100000.0,-0.086616,0.0295931492,2.9593149152,,,,,,,-8661.6,-0.086616,1.1307582537,113.0758253685,1.1307582537,113.0758253685,53,24,29,0,49.5339622642,-34.15,2.8251572327,,,1824.35,11,1383.85,41,-582.9,1,0.0,0,Tuesday,2021-03
2021-03-31,strategy_32,-819.5,-834.7,15.2,-9496.3,91338.4,90503.7,100000.0,-0.094963,-0.0091385441,-0.9138544139,-0.094963,-9.4963,,,,,-9496.3,-0.094963,0.9547550646,95.4755064619,0.9547550646,95.4755064619,38,11,27,0,-21.9657894737,-100.275,2.5627192982,,,1412.05,8,-1580.15,26,-666.6,4,0.0,0,Wednesday,2021-03
2021-04-01,strategy_32,662.75,643.95,18.8,-8852.35,90503.7,91147.65,100000.0,-0.0885235,0.0071151787,0.7115178716,0.0274429594,2.7442959383,,,,,-8852.35,-0.0885235,0.8669543617,86.6954361663,0.8669543617,86.6954361663,47,19,28,0,13.7010638298,-77.65,2.9765957447,,,-460.4,6,2352.6,31,-1248.25,10,0.0,0,Thursday,2021-04
2021-04-05,strategy_32,10347.5,10329.5,18.0,1477.15,91147.65,101477.15,101477.15,0.0147715,0.1133271127,11.3327112657,0.1110020539,11.1002053901,0.0147715,1.47715,,,0.0,0.0,1.1542683413,115.4268341267,1.1542683413,115.4268341267,45,17,28,0,229.5444444444,-107.9,3.0833333333,,,12590.95,7,-1281.45,33,-980.0,5,0.0,0,Monday,2021-04
2021-04-06,strategy_32,-3728.75,-3747.55,18.8,-2270.4,101477.15,97729.6,101477.15,-0.022704,-0.0369299887,-3.6929988672,0.0798409347,7.984093468,0.1016366241,10.1636624129,,,-3747.55,-0.0369299887,0.8111525013,81.1152501259,1.083330103,108.3330102956,47,13,34,0,-79.735106383,-227.9,2.8741134752,,,-1549.1,9,-1576.35,34,-622.1,4,0.0,0,Tuesday,2021-04
2021-04-07,strategy_32,-1778.0,-1782.8,4.8,-4053.2,97729.6,95946.8,101477.15,-0.040532,-0.0182421702,-1.8242170233,0.052652482,5.2652481989,0.0504541354,5.0454135391,,,-5530.35,-0.0544984758,0.8413076726,84.1307672644,1.0072797603,100.7279760252,12,3,9,0,-148.5666666667,-412.9,2.6819444444,,,-1783.5,10,0.7,2,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_32,7980.0,7961.2,18.8,3908.0,95946.8,103908.0,103908.0,0.03908,0.0829751487,8.2975148728,0.0239546538,2.3954653831,0.1481077569,14.810775692,,,0.0,0.0,0.9278049937,92.7804993686,1.0467576793,104.6757679292,47,20,27,0,169.3872340426,-100.4,3.8436170213,,,-1264.95,8,7771.4,34,1454.75,5,0.0,0,Thursday,2021-04
2021-04-09,strategy_32,-7745.25,-7770.45,25.2,-3862.45,103908.0,96137.55,103908.0,-0.0386245,-0.0747820187,-7.4782018709,-0.0162903562,-1.6290356248,0.0547452403,5.4745240278,,,-7770.45,-0.0747820187,1.1477268592,114.772685915,1.0678648265,106.7864826549,63,10,53,0,-123.3404761905,-172.9,2.4380952381,,,-783.45,13,-5714.55,42,-1272.45,8,0.0,0,Friday,2021-04
2021-04-12,strategy_32,-5940.0,-5964.0,24.0,-9826.45,96137.55,90173.55,103908.0,-0.0982645,-0.0620361139,-6.2036113881,-0.0601713658,-6.0171365799,-0.1113905938,-11.1390593843,-0.0982645,-9.82645,-13734.45,-0.1321789468,0.8879923757,88.7992375719,1.0525020351,105.2502035074,60,14,46,0,-99.4,-231.65,2.4575,,,-1765.55,7,-5898.35,44,1699.9,9,0.0,0,Monday,2021-04
2021-04-13,strategy_32,4025.25,4000.85,24.4,-5825.6,90173.55,94174.4,103908.0,-0.058256,0.044368332,4.4368331955,-0.0936751742,-9.3675174193,-0.0363779244,-3.6377924395,0.0615613703,6.1561370305,-9733.6,-0.0936751742,0.9649138136,96.4913813602,0.9155391023,91.5539102307,61,24,37,0,65.587704918,-106.15,2.8822404372,,,653.4,9,3560.7,42,-213.25,10,0.0,0,Tuesday,2021-04
2021-04-15,strategy_32,542.25,521.45,20.8,-5304.15,94174.4,94695.85,103908.0,-0.0530415,0.0055370674,0.5537067398,-0.0149962216,-1.499622156,-0.0130379544,-1.3037954366,0.0367583623,3.675836231,-9212.15,-0.0886567925,0.9609471014,96.0947101371,0.9081309904,90.8130990422,52,16,36,0,10.0278846154,-143.525,2.3509615385,,,1771.3,13,-533.5,30,-716.35,9,0.0,0,Thursday,2021-04
2021-04-16,strategy_32,-625.75,-646.55,20.8,-5950.7,94695.85,94049.3,103908.0,-0.059507,-0.0068276487,-0.682764873,0.0429810072,4.298100718,-0.0948791238,-9.487912384,0.0391762989,3.917629887,-9858.7,-0.0948791238,0.7002512517,70.0251251692,0.9072765593,90.7276559306,52,17,35,0,-12.4336538462,-96.65,2.9179487179,,,-1862.75,10,58.9,34,1157.3,8,0.0,0,Friday,2021-04
2021-04-19,strategy_32,-3518.5,-3541.7,23.2,-9492.4,94049.3,90507.6,103908.0,-0.094924,-0.0376579092,-3.7657909203,-0.0389362714,-3.8936271428,-0.058561405,-5.8561404987,-0.0070221229,-0.7022122896,-13400.4,-0.1289640836,0.5798582847,57.9858284736,0.9299781039,92.9978103889,58,14,44,0,-61.0637931034,-159.15,2.3436781609,,,-1177.25,10,-4750.95,38,2386.5,10,0.0,0,Monday,2021-04
2021-04-20,strategy_32,3648.5,3623.3,25.2,-5869.1,90507.6,94130.9,103908.0,-0.058691,0.0400331022,4.0033102193,-0.0059659425,-0.5965942541,0.0438859289,4.3885928856,-0.0723931447,-7.2393144664,-9777.1,-0.0940938138,0.4842842837,48.4284283683,0.7560813749,75.6081374884,63,15,48,0,57.5126984127,-125.4,2.0386243386,,,-873.2,13,4680.7,37,-184.2,13,0.0,0,Tuesday,2021-04
2021-04-22,strategy_32,-4479.75,-4502.15,22.4,-10371.25,94130.9,89628.75,103908.0,-0.1037125,-0.0478286089,-4.7828608884,-0.0470024764,-4.7002476361,-0.0482684254,-4.8268425389,-0.0828904447,-8.2890444655,-14279.25,-0.1374220464,0.4994100431,49.9410043084,0.7688607504,76.8860750431,56,18,38,0,-80.3955357143,-147.9,2.0726190476,,,895.25,5,-4319.1,44,-1078.3,7,0.0,0,Thursday,2021-04
