date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_S5-10,45506.0,45200.4,305.6,45200.4,100000.0,145200.4,145200.4,0.452004,0.452004,45.2004,,,,,,,0.0,0.0,,,,,764,328,436,0,59.1628272251,-32.9,0.5457242583,,,12249.35,156,25384.6,501,7566.45,107,0.0,0,Friday,2021-03
2021-03-30,strategy_S5-10,28668.25,28408.25,260.0,73608.65,145200.4,173608.65,173608.65,0.7360865,0.1956485657,19.5648565706,,,,,,,0.0,0.0,2.0347581791,203.4758179142,2.0347581791,203.4758179142,650,291,359,0,43.705,-17.65,0.5492307692,,,7125.75,135,21256.75,490,25.75,25,0.0,0,Tuesday,2021-03
2021-03-31,strategy_S5-10,40995.25,40773.25,222.0,114381.9,173608.65,214381.9,214381.9,1.143819,0.2348572493,23.4857249336,1.143819,114.3819,,,,,0.0,0.0,1.7898122653,178.9812265254,1.7898122653,178.9812265254,555,283,272,0,73.4653153153,4.6,0.8451051051,,,9431.45,122,24042.75,350,7299.05,83,0.0,0,Wednesday,2021-03
2021-04-01,strategy_S5-10,43116.0,42855.2,260.8,157237.1,214381.9,257237.1,257237.1,1.572371,0.1999012043,19.9901204346,0.7716004915,77.1600491459,,,,,0.0,0.0,1.6800186115,168.0018611526,1.6800186115,168.0018611526,652,327,325,0,65.7288343558,1.6,0.6515337423,,,9230.35,126,28974.5,435,4650.35,91,0.0,0,Thursday,2021-04
2021-04-05,strategy_S5-10,38632.25,38321.45,310.8,195558.55,257237.1,295558.55,295558.55,1.9555855,0.1489732624,14.897326241,0.7024413818,70.2441381809,1.9555855,195.55855,,,0.0,0.0,1.6895127582,168.9512758157,1.6895127582,168.9512758157,777,304,473,0,49.3197554698,-48.4,0.5294079794,,,18194.25,145,15566.85,531,4560.35,101,0.0,0,Monday,2021-04
2021-04-06,strategy_S5-10,35215.75,34906.55,309.2,230465.1,295558.55,330465.1,330465.1,2.304651,0.1181036718,11.8103671844,0.5414785483,54.1478548329,1.275924171,127.5924171008,,,0.0,0.0,0.6523167767,65.2316776715,1.7186343172,171.8634317219,773,330,443,0,45.1572445019,-32.9,0.5321043553,,,16083.6,156,18629.35,511,193.6,106,0.0,0,Tuesday,2021-04
2021-04-07,strategy_S5-10,10683.0,10621.0,62.0,241086.1,330465.1,341086.1,341086.1,2.410861,0.0321395512,3.2139551196,0.3259599801,32.5959980112,0.9646837874,96.4683787357,,,0.0,0.0,1.112327067,111.2327066993,1.9179329575,191.7932957482,155,69,86,0,68.5225806452,-37.9,0.554516129,,,10208.35,146,412.65,9,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_S5-10,33088.25,32794.65,293.6,273880.75,341086.1,373880.75,373880.75,2.7388075,0.0961477175,9.6147717541,0.26499724,26.4997239972,0.7439940126,74.3994012554,,,0.0,0.0,0.8841731804,88.4173180442,1.8711206221,187.112062206,734,310,424,0,44.679359673,-28.9,0.561489555,,,2221.7,152,18794.1,496,11778.85,86,0.0,0,Thursday,2021-04
2021-04-09,strategy_S5-10,21051.25,20733.25,318.0,294614.0,373880.75,394614.0,394614.0,2.94614,0.0554541789,5.5454178906,0.1941170187,19.4117018711,0.5340477715,53.4047771492,,,0.0,0.0,0.6677327446,66.7732744632,1.8782915231,187.8291523136,795,326,469,0,26.0795597484,-30.4,0.5124737945,,,6203.95,157,13706.7,527,822.6,111,0.0,0,Friday,2021-04
2021-04-12,strategy_S5-10,44888.75,44568.35,320.4,339182.35,394614.0,439182.35,439182.35,3.3918235,0.1129416341,11.2941634103,0.2875996706,28.7599670582,0.4859402646,48.5940264628,3.3918235,339.18235,0.0,0.0,0.5334959027,53.3495902736,1.8027620634,180.2762063406,801,360,441,0,55.640886392,-25.9,0.5200998752,,,12678.9,154,20809.25,535,11080.2,112,0.0,0,Monday,2021-04
2021-04-13,strategy_S5-10,60680.5,60384.5,296.0,399566.85,439182.35,499566.85,499566.85,3.9956685,0.1374930026,13.7493002622,0.3361662776,33.6166277617,0.5117083468,51.1708346812,2.440533566,244.0533566023,0.0,0.0,0.6070152901,60.7015290114,0.968463168,96.8463168001,740,343,397,0,81.6006756757,-15.775,0.5870720721,,,7134.85,156,43930.25,480,9319.4,104,0.0,0,Tuesday,2021-04
2021-04-15,strategy_S5-10,71684.0,71387.2,296.8,470954.05,499566.85,570954.05,570954.05,4.7095405,0.1428981927,14.2898192704,0.4468671917,44.6867191737,0.6739293979,67.3929397885,2.2887419492,228.8741949206,0.0,0.0,0.5024381006,50.2438100598,0.9137357408,91.3735740827,742,364,378,0,96.2091644205,-2.9,0.5959344115,,,10762.25,160,51430.6,486,9194.35,96,0.0,0,Thursday,2021-04
2021-04-16,strategy_S5-10,42161.0,41877.8,283.2,512831.85,570954.05,612831.85,612831.85,5.1283185,0.0733470583,7.3347058314,0.395392711,39.5392711023,0.639110465,63.9110465035,1.8585988369,185.8598836935,0.0,0.0,0.5503759492,55.0375949225,0.7455302781,74.5530278115,708,319,389,0,59.1494350282,-15.775,0.5912193974,,,10882.55,153,25893.45,462,5101.8,93,0.0,0,Friday,2021-04
2021-04-19,strategy_S5-10,48858.25,48560.65,297.6,561392.5,612831.85,661392.5,661392.5,5.613925,0.0792397621,7.9239762098,0.3239319222,32.3931922224,0.6760492532,67.6049253194,1.5711396218,157.1139621773,0.0,0.0,0.4564085279,45.6408527865,0.591506039,59.1506039035,744,355,389,0,65.2696908602,-12.65,0.5745743728,,,10959.4,159,27554.85,491,10046.4,94,0.0,0,Monday,2021-04
2021-04-20,strategy_S5-10,63210.5,62928.5,282.0,624321.0,661392.5,724321.0,724321.0,6.24321,0.0951454696,9.5145469596,0.2686152239,26.861522394,0.6492488826,64.9248882611,1.4506853211,145.0685321064,0.0,0.0,0.4629659361,46.2965936104,0.5308932184,53.0893218374,705,359,346,0,89.2602836879,4.6,0.6336406619,,,7571.3,148,40444.15,459,14913.05,98,0.0,0,Tuesday,2021-04
2021-04-22,strategy_S5-10,40912.0,40634.8,277.2,664955.8,724321.0,764955.8,764955.8,6.649558,0.0561005411,5.6100541058,0.248231142,24.8231142033,0.5312381116,53.1238111576,1.3147854342,131.4785434226,0.0,0.0,0.4690283884,46.9028388371,0.5427935285,54.2793528475,693,335,358,0,58.6360750361,-5.4,0.5901875902,,,-390.25,115,33201.1,481,7823.95,97,0.0,0,Thursday,2021-04
2021-04-23,strategy_S5-10,47085.75,46878.55,207.2,711834.3500000001,764955.8,811834.3500000001,811834.3500000001,7.1183435,0.0612826911,6.1282691105,0.227462286,22.746228601,0.4218908685,42.1890868451,1.3801449253,138.0144925284,0.0,0.0,0.2190867597,21.9086759704,0.481358069,48.1358068986,518,266,252,0,90.4991312741,4.6,0.6085585586,,,0.0,0,37921.45,417,8957.1,101,0.0,0,Friday,2021-04
2021-04-26,strategy_S5-10,43989.0,43706.2,282.8,755540.55,811834.3500000001,855540.55,855540.55,7.5554055,0.0538363522,5.3836352207,0.1811621505,18.1162150483,0.3960445267,39.6044526733,1.2882711934,128.8271193422,0.0,0.0,0.2504204758,25.042047578,0.511215945,51.1215944973,707,319,388,0,61.8192362093,-13.15,0.6049269213,,,9458.3,143,28764.45,467,5483.45,97,0.0,0,Monday,2021-04
2021-04-27,strategy_S5-10,12041.75,11764.95,276.8,767305.5,855540.55,867305.5,867305.5,7.673055,0.0137514814,1.3751481446,0.1337981881,13.3798188078,0.3113325295,31.1332529474,1.1978579067,119.7857906714,0.0,0.0,0.410895358,41.0895358027,0.6054858667,60.5485866715,692,295,397,0,17.0013728324,-24.4,0.5739402697,,,2923.85,146,8191.95,452,649.15,94,0.0,0,Tuesday,2021-04
2021-04-28,strategy_S5-10,5788.25,5501.05,287.2,772806.55,867305.5,872806.55,872806.55,7.7280655,0.0063426901,0.634269009,0.0751042377,7.5104237706,0.2049996479,20.4999647946,0.9873443229,98.7344322922,0.0,0.0,0.3695955051,36.9595505069,0.6792201029,67.9220102876,718,254,464,0,7.6616295265,-42.9,0.5483286908,,,768.0,140,3784.1,476,948.95,102,0.0,0,Wednesday,2021-04
2021-04-29,strategy_S5-10,61372.75,61087.55,285.2,833894.1000000001,872806.55,933894.1,933894.1,8.338941,0.0699897933,6.9989793271,0.0915836777,9.1583677711,0.2208471391,22.0847139142,0.8694076679,86.9407667863,0.0,0.0,0.411524703,41.1524702994,0.5845308175,58.4530817533,713,295,418,0,85.6767882188,-33.4,0.5634174848,,,17577.85,131,43065.25,470,444.45,112,0.0,0,Thursday,2021-04
2021-04-30,strategy_S5-10,53129.0,52830.2,298.8,886724.3,933894.1,986724.3,986724.3,8.867243,0.0565697974,5.6569797368,0.1376894301,13.768943008,0.2154256592,21.5425659188,0.7282026461,72.820264608,0.0,0.0,0.40078915,40.0789150028,0.415465183,41.5465182959,747,364,383,0,70.7231593039,-5.4,0.5763944668,,,10283.8,153,38130.15,479,4416.25,115,0.0,0,Friday,2021-04
2021-05-01,strategy_S5-10,8041.0,8039.4,1.6,894763.7000000001,986724.3,994763.7,994763.7,8.947637,0.0081475646,0.8147564624,0.1397298749,13.972987485,0.1627312113,16.2731211279,0.6232245436,62.3224543568,0.0,0.0,0.4260605978,42.606059777,0.4624522376,46.2452237588,4,1,3,0,2009.85,-196.65,54.7958333333,,,8432.7,2,-393.3,2,0.0,0,0.0,0,Saturday,2021-05
2021-05-03,strategy_S5-10,30515.75,30203.35,312.4,924967.05,994763.7,1024967.05,1024967.05,9.2496705,0.0303623363,3.0362336302,0.0975195689,9.7519568868,0.1817831779,18.17831779,0.549710724,54.9710723965,0.0,0.0,0.4047700634,40.4770063395,0.4428485337,44.2848533677,781,344,437,0,38.6726632522,-27.9,0.5418267179,,,2510.65,164,20510.4,514,7182.3,103,0.0,0,Monday,2021-05
2021-05-04,strategy_S5-10,53128.25,52835.05,293.2,977802.1,1024967.05,1077802.1,1077802.1,9.778021,0.0515480473,5.1548047325,0.0923031895,9.2303189452,0.2348693992,23.4869399181,0.4880171913,48.8017191273,0.0,0.0,0.3448487537,34.4848753745,0.3596863347,35.9686334707,733,343,390,0,72.0805593452,-12.9,0.5625738972,,,10994.65,149,28664.35,491,13176.05,93,0.0,0,Tuesday,2021-05
