date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_S5-4,20085.25,19977.65,107.6,19977.65,100000.0,119977.65,119977.65,0.1997765,0.1997765,19.97765,,,,,,,0.0,0.0,,,,,269,113,156,0,74.2663568773,-77.9,1.6734820322,,,4034.85,51,10520.9,179,5421.9,39,0.0,0,Friday,2021-03
2021-03-30,strategy_S5-4,14862.25,14770.25,92.0,34747.9,119977.65,134747.9,134747.9,0.347479,0.1231083456,12.3108345596,,,,,,,0.0,0.0,0.6085346101,60.8534610094,0.6085346101,60.8534610094,230,100,130,0,64.2184782609,-40.9,1.7255797101,,,3606.85,46,11417.5,175,-254.1,9,0.0,0,Tuesday,2021-03
2021-03-31,strategy_S5-4,14067.5,13977.5,90.0,48725.4,134747.9,148725.4,148725.4,0.487254,0.1037307446,10.3730744598,0.487254,48.7254,,,,,0.0,0.0,0.6583251208,65.8325120762,0.6583251208,65.8325120762,225,101,124,0,62.1222222222,-25.4,2.1601481481,,,5799.45,47,8042.35,141,135.7,37,0.0,0,Wednesday,2021-03
2021-04-01,strategy_S5-4,26107.25,26008.05,99.2,74733.45,148725.4,174733.45,174733.45,0.7473345,0.1748729538,17.4872953779,0.4563833347,45.6383334729,,,,,0.0,0.0,0.612754714,61.2754714003,0.612754714,61.2754714003,248,134,114,0,104.8711693548,35.85,1.7963709677,,,3093.65,54,20552.7,162,2361.7,32,0.0,0,Thursday,2021-04
2021-04-05,strategy_S5-4,1745.0,1628.6,116.4,76362.05,174733.45,176362.05,176362.05,0.7636205,0.0093204821,0.932048214,0.3088296738,30.8829673783,0.7636205,76.36205,,,0.0,0.0,1.0500304833,105.0030483325,1.0500304833,105.0030483325,291,99,192,0,5.5965635739,-120.4,1.3679266896,,,10373.6,51,-4854.3,197,-3890.7,43,0.0,0,Monday,2021-04
2021-04-06,strategy_S5-4,21670.5,21566.5,104.0,97928.55,176362.05,197928.55,197928.55,0.9792855,0.1222853783,12.2285378289,0.3308321914,33.0832191408,0.6497118422,64.9711842164,,,0.0,0.0,0.8593160057,85.9316005653,0.9585425818,95.8542581764,260,106,154,0,82.9480769231,-66.025,1.621474359,,,10636.2,52,11395.9,174,-465.6,34,0.0,0,Tuesday,2021-04
2021-04-07,strategy_S5-4,1840.25,1817.45,22.8,99746.0,197928.55,199746.0,199746.0,0.99746,0.0091823539,0.9182353935,0.1431468903,14.3146890306,0.4823681853,48.236818533,,,0.0,0.0,1.0358065365,103.5806536484,1.0869964891,108.6996489075,57,25,32,0,31.8850877193,-117.9,1.5511695906,,,1083.65,54,733.8,3,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_S5-4,10547.5,10437.9,109.6,110183.9,199746.0,210183.9,210183.9,1.101839,0.0522558649,5.2255864948,0.1917751013,19.1775101276,0.4132347265,41.323472655,,,0.0,0.0,1.037652297,103.7652297049,1.055270478,105.527047799,274,110,164,0,38.0945255474,-65.275,1.5775547445,,,303.85,56,6691.2,182,3442.85,36,0.0,0,Thursday,2021-04
2021-04-09,strategy_S5-4,4549.25,4439.65,109.6,114623.55,210183.9,214623.55,214623.55,1.1462355,0.021122693,2.1122693032,0.0843486197,8.4348619742,0.2282911486,22.8291148604,,,0.0,0.0,0.6782805159,67.8280515935,1.0686630166,106.8663016598,274,103,171,0,16.2031021898,-65.4,1.5479318735,,,3053.3,53,1054.25,185,332.1,36,0.0,0,Friday,2021-04
2021-04-12,strategy_S5-4,13043.0,12931.4,111.6,127554.95,214623.55,227554.95,227554.95,1.2755495,0.0602515428,6.0251542759,0.1392215614,13.9221561383,0.2902716316,29.0271631567,1.2755495,127.55495,0.0,0.0,0.6265806867,62.6580686705,1.0240920777,102.4092077738,279,110,169,0,46.3491039427,-103.15,1.5962365591,,,1179.7,57,12373.05,178,-621.35,44,0.0,0,Monday,2021-04
2021-04-13,strategy_S5-4,23793.5,23677.9,115.6,151232.85,227554.95,251232.85,251232.85,1.5123285,0.1040535484,10.4053548385,0.1953001633,19.5300163333,0.2693108195,26.9310819485,1.0939970903,109.3997090291,0.0,0.0,0.5279310428,52.7931042845,0.8457809498,84.5780949819,289,123,166,0,81.930449827,-45.4,1.5049596309,,,2494.7,52,18481.9,194,2701.3,43,0.0,0,Tuesday,2021-04
2021-04-15,strategy_S5-4,22194.0,22084.0,110.0,173316.85,251232.85,273316.85,273316.85,1.7331685,0.0879025175,8.7902517525,0.2734709215,27.3470921527,0.368322019,36.8322018964,1.0283570282,102.8357028199,0.0,0.0,0.4578806419,45.7880641885,0.8145242274,81.4524227373,275,119,156,0,80.3054545455,-42.9,1.5136969697,,,8764.7,47,10749.3,188,2570.0,40,0.0,0,Thursday,2021-04
2021-04-16,strategy_S5-4,13053.0,12952.2,100.8,186269.05,273316.85,286269.05,286269.05,1.8626905,0.0473889553,4.7388955346,0.2580216339,25.8021633895,0.3619932354,36.1993235448,0.9248161377,92.481613766,0.0,0.0,0.4657459846,46.5745984606,0.8077341355,80.7734135489,252,105,147,0,51.3976190476,-58.4,1.7083333333,,,714.75,55,9210.1,166,3027.35,31,0.0,0,Friday,2021-04
2021-04-19,strategy_S5-4,14262.25,14149.85,112.4,200418.9,286269.05,300418.9,300418.9,2.004189,0.0494285009,4.9428500915,0.1957787367,19.5778736738,0.3997480705,39.9748070517,0.7192981653,71.9298165291,0.0,0.0,0.3556337994,35.5633799388,0.5823234167,58.2323416721,281,106,175,0,50.3553380783,-63.4,1.5589561091,,,2254.35,56,4098.2,192,7797.3,33,0.0,0,Monday,2021-04
